dtime,total_e,v1,v2,v3,a1,a2,a3
2023-04-26 00:10:00,57671.650,132.970,129.588,132.164,1.676,0.163,1.562
2023-04-26 00:20:00,57671.710,132.037,128.923,131.276,1.668,0.168,1.553
2023-04-26 00:30:00,57671.780,131.800,128.976,131.324,1.671,0.172,1.555
2023-04-26 00:40:00,57671.850,132.880,129.486,132.168,1.675,0.169,1.558
2023-04-26 00:50:00,57672.040,130.790,127.396,130.218,1.664,0.170,1.548
2023-04-26 01:00:00,57672.110,131.199,127.764,130.922,1.667,0.170,1.551
2023-04-26 01:09:00,57672.180,132.940,129.602,132.921,1.673,0.167,1.557
2023-04-26 01:20:00,57672.360,133.112,129.619,132.944,1.675,0.171,1.558
2023-04-26 01:30:00,57672.430,134.050,129.962,133.840,1.679,0.167,1.564
2023-04-26 01:40:00,57673.620,126.592,122.717,125.882,22.173,20.864,21.753
2023-04-26 01:50:00,57674.950,126.307,122.841,125.765,21.977,20.898,21.785
2023-04-26 02:00:00,57676.190,127.473,123.943,126.836,21.979,20.806,21.712
2023-04-26 02:09:00,57677.410,127.659,124.258,126.947,22.041,20.900,21.752
2023-04-26 02:20:00,57678.370,131.724,127.652,130.995,12.761,13.356,12.452
2023-04-26 02:30:00,57678.510,135.492,132.061,135.015,1.687,0.166,1.572
2023-04-26 02:40:00,57678.580,134.414,131.025,134.132,1.684,0.174,1.565
2023-04-26 02:50:00,57678.640,134.698,131.123,134.332,1.686,0.170,1.568
2023-04-26 03:00:00,57678.840,134.789,131.144,134.366,1.685,0.169,1.568
2023-04-26 03:09:00,57678.910,135.558,132.063,135.120,1.687,0.167,1.570
2023-04-26 03:20:00,57678.980,135.139,131.358,134.550,1.685,0.170,1.569
2023-04-26 03:30:00,57679.170,134.971,131.085,134.415,1.683,0.167,1.566
2023-04-26 03:40:00,57679.240,133.707,130.106,133.244,1.676,0.169,1.560
2023-04-26 03:50:00,57679.300,134.571,130.797,134.326,1.683,0.170,1.565
2023-04-26 03:59:00,57679.500,134.398,130.812,134.032,1.682,0.168,1.566
2023-04-26 04:10:00,57679.570,133.775,129.697,134.172,4.833,4.333,1.564
2023-04-26 04:19:00,57680.070,127.785,125.004,127.242,21.897,21.234,21.975
2023-04-26 04:30:00,57681.320,127.620,124.518,126.806,21.912,21.001,21.696
2023-04-26 04:40:00,57682.640,126.632,123.388,125.576,22.018,21.020,21.597
2023-04-26 04:50:00,57683.880,126.733,123.689,125.898,21.924,20.985,21.702
2023-04-26 05:00:00,57685.110,126.742,123.469,125.733,22.081,20.916,21.678
2023-04-26 05:09:00,57686.190,123.798,120.744,122.795,31.246,31.480,31.185
2023-04-26 05:19:00,57687.960,123.382,119.807,121.867,31.517,31.271,30.635
2023-04-26 05:30:00,57689.850,124.137,120.475,122.787,31.555,30.959,30.742
2023-04-26 05:40:00,57691.690,120.743,116.603,119.520,44.176,44.149,42.495
2023-04-26 05:50:00,57693.660,124.773,120.697,123.605,33.616,33.512,31.334
2023-04-26 06:00:00,57695.450,128.660,124.681,127.066,22.569,21.548,21.912
2023-04-26 06:10:00,57696.860,125.745,121.577,125.053,35.036,33.259,31.078
2023-04-26 06:20:00,57698.570,124.318,120.126,123.507,33.807,31.965,29.655
2023-04-26 06:30:00,57700.340,119.193,115.081,118.051,49.952,49.182,45.762
2023-04-26 06:40:00,57702.690,120.464,116.092,118.466,44.524,43.144,41.013
2023-04-26 06:50:00,57704.820,123.956,119.329,121.827,32.755,29.593,30.095
2023-04-26 07:00:00,57706.540,123.840,119.586,122.137,33.977,32.715,30.850
2023-04-26 07:09:00,57708.330,125.157,120.950,123.788,33.658,32.226,30.907
2023-04-26 07:19:00,57710.210,120.892,116.512,120.015,45.913,43.813,40.467
2023-04-26 07:30:00,57710.910,136.504,135.110,139.339,1.713,0.163,1.597
2023-04-26 07:40:00,57710.980,136.248,135.721,139.803,1.715,0.167,1.596
2023-04-26 07:50:00,57711.200,134.583,133.119,137.592,12.054,13.496,14.726
2023-04-26 08:00:00,57711.280,135.395,134.151,139.402,1.712,0.165,1.596
2023-04-26 08:09:00,57711.380,136.444,134.828,139.899,11.943,13.420,15.044
2023-04-26 08:19:00,57711.610,137.289,136.292,141.477,1.723,0.169,1.605
2023-04-26 08:29:00,57711.680,136.286,135.024,140.595,1.719,0.168,1.601
2023-04-26 08:39:00,57711.820,134.822,133.121,138.897,15.881,16.950,15.531
2023-04-26 08:50:00,57712.520,133.882,131.969,137.569,24.035,23.129,24.359
2023-04-26 09:00:00,57713.910,134.262,132.423,137.189,20.959,19.291,23.340
2023-04-26 09:09:00,57715.180,134.157,132.859,136.354,20.873,19.640,23.006
2023-04-26 09:19:00,57716.590,135.074,132.867,136.257,21.382,19.539,22.587
2023-04-26 09:29:00,57718.000,134.202,131.170,135.248,24.891,23.070,22.772
2023-04-26 09:39:00,57719.440,133.977,131.646,134.389,33.206,32.757,34.725
2023-04-26 09:49:00,57720.410,138.939,137.061,139.792,1.727,0.171,1.608
2023-04-26 10:00:00,57720.480,138.219,136.126,138.633,1.722,0.168,1.604
2023-04-26 10:10:00,57720.680,138.330,136.714,138.672,1.720,0.168,1.603
2023-04-26 10:19:00,57720.750,137.014,134.888,137.351,1.711,0.166,1.593
2023-04-26 10:29:00,57720.950,136.704,134.353,136.503,1.706,0.170,1.587
2023-04-26 10:39:00,57721.030,137.180,134.958,137.232,4.842,4.356,1.595
2023-04-26 10:49:00,57721.230,136.775,134.795,136.889,1.710,0.169,1.593
2023-04-26 10:59:00,57721.310,137.147,135.253,137.166,1.713,0.167,1.594
2023-04-26 11:09:00,57721.500,135.535,133.317,135.035,13.419,14.009,13.609
2023-04-26 11:19:00,57721.570,135.739,133.722,134.998,1.699,0.167,1.582
2023-04-26 11:29:00,57721.650,137.105,134.729,136.193,1.710,0.169,1.592
2023-04-26 11:39:00,57721.850,137.980,135.450,137.271,1.715,0.164,1.597
2023-04-26 11:50:00,57722.400,135.085,132.625,134.478,22.008,19.906,21.982
2023-04-26 12:00:00,57723.800,136.397,133.565,135.179,21.988,19.714,21.474
2023-04-26 12:09:00,57725.050,134.750,132.625,133.831,21.740,20.057,21.598
2023-04-26 12:19:00,57726.120,138.353,136.529,137.772,1.721,0.170,1.600
2023-04-26 12:29:00,57726.200,139.111,136.967,138.113,1.725,0.168,1.605
2023-04-26 12:39:00,57726.270,139.117,137.917,138.205,1.725,0.172,1.602
2023-04-26 12:49:00,57726.470,139.469,137.711,138.904,1.727,0.165,1.608
2023-04-26 12:59:00,57726.550,137.092,135.196,136.190,1.709,0.172,1.589
2023-04-26 13:09:00,57727.480,133.972,132.137,133.345,21.620,20.138,21.742
2023-04-26 13:19:00,57728.980,133.740,131.244,132.628,33.710,33.613,33.149
2023-04-26 13:29:00,57730.410,134.387,132.076,133.323,21.896,20.054,21.689
2023-04-26 13:40:00,57730.750,135.344,132.815,134.426,12.926,13.600,12.961
2023-04-26 13:49:00,57730.960,136.754,134.901,135.580,1.815,0.170,1.699
2023-04-26 14:00:00,57731.160,138.051,135.378,137.598,4.908,4.417,1.594
2023-04-26 14:09:00,57731.240,135.803,134.346,135.589,1.699,0.166,1.582
2023-04-26 14:20:00,57731.430,137.597,136.368,137.473,1.705,0.165,1.590
2023-04-26 14:30:00,57731.510,136.995,134.642,136.300,1.707,0.169,1.589
2023-04-26 14:40:00,57731.700,137.795,136.372,137.490,1.710,0.165,1.594
2023-04-26 14:49:00,57731.770,138.100,136.148,137.747,1.714,0.166,1.596
2023-04-26 14:59:00,57731.960,139.554,137.393,138.862,1.723,0.164,1.606
2023-04-26 15:09:00,57732.040,138.526,136.858,138.769,1.718,0.165,1.602
2023-04-26 15:20:00,57732.840,132.395,130.568,132.500,30.763,29.652,31.859
2023-04-26 15:30:00,57734.370,132.282,130.227,132.542,29.338,27.821,30.556
2023-04-26 15:40:00,57735.770,133.290,132.489,133.641,24.171,23.676,25.376
2023-04-26 15:50:00,57736.670,136.802,135.993,137.716,1.711,0.168,1.593
2023-04-26 16:00:00,57736.750,137.023,135.703,137.889,1.713,0.170,1.594
2023-04-26 16:10:00,57736.940,137.000,136.729,137.888,1.706,0.164,1.591
2023-04-26 16:20:00,57737.020,135.962,135.128,136.608,1.702,0.168,1.585
2023-04-26 16:30:00,57737.110,136.218,134.317,136.194,12.970,13.899,13.468
2023-04-26 16:40:00,57737.270,135.622,134.535,136.289,1.699,0.166,1.582
2023-04-26 16:50:00,57737.340,136.869,135.378,138.008,1.708,0.167,1.592
2023-04-26 17:00:00,57737.540,138.629,136.811,139.348,1.718,0.168,1.603
2023-04-26 17:09:00,57737.610,136.310,134.969,137.385,1.706,0.168,1.590
2023-04-26 17:19:00,57737.800,136.279,134.315,137.042,1.707,0.169,1.591
2023-04-26 17:29:00,57737.880,135.953,133.636,136.902,1.705,0.163,1.591
2023-04-26 17:40:00,57737.940,138.486,136.481,138.799,1.718,0.170,1.600
2023-04-26 17:50:00,57738.640,134.207,132.386,135.614,21.325,19.818,22.632
2023-04-26 18:00:00,57739.910,135.585,133.867,136.463,21.136,19.843,22.144
2023-04-26 18:10:00,57741.170,133.445,132.108,134.456,21.074,19.945,22.270
2023-04-26 18:20:00,57742.210,135.685,134.551,137.542,1.707,0.170,1.590
2023-04-26 18:29:00,57742.290,134.614,133.177,136.074,1.701,0.176,1.582
2023-04-26 18:39:00,57742.470,135.822,134.967,137.400,1.712,0.172,1.595
2023-04-26 18:49:00,57742.540,136.790,135.805,138.630,1.714,0.171,1.597
2023-04-26 18:59:00,57742.620,136.613,135.424,138.505,1.711,0.168,1.596
2023-04-26 19:09:00,57742.800,136.434,135.269,138.482,1.713,0.171,1.596
2023-04-26 19:20:00,57742.870,136.827,135.815,138.495,1.711,0.171,1.595
2023-04-26 19:30:00,57742.940,136.966,135.279,138.385,1.715,0.171,1.597
2023-04-26 19:40:00,57743.130,136.983,135.401,139.147,4.828,4.355,1.599
2023-04-26 19:50:00,57743.200,137.449,136.439,140.022,1.724,0.173,1.606
2023-04-26 20:00:00,57743.270,137.316,135.756,139.392,1.722,0.168,1.603
2023-04-26 20:10:00,57743.460,138.375,137.308,140.289,1.721,0.167,1.606
2023-04-26 20:20:00,57743.530,137.912,136.200,139.845,1.718,0.168,1.603
2023-04-26 20:30:00,57743.680,135.884,133.429,137.239,12.920,13.589,14.205
2023-04-26 20:40:00,57744.930,133.958,132.136,135.033,21.124,20.004,22.349
2023-04-26 20:50:00,57746.200,132.043,130.199,133.471,21.194,19.825,22.580
2023-04-26 21:00:00,57747.550,131.699,130.043,133.021,21.242,19.884,22.549
2023-04-26 21:10:00,57747.740,136.577,135.291,137.967,1.712,0.166,1.595
2023-04-26 21:20:00,57747.810,135.404,134.052,137.470,4.821,4.346,1.591
2023-04-26 21:30:00,57747.980,134.342,133.159,136.096,1.696,0.169,1.583
2023-04-26 21:40:00,57748.060,136.207,134.992,137.306,1.707,0.164,1.593
2023-04-26 21:50:00,57748.130,136.646,135.490,137.904,1.708,0.161,1.596
