dtime,total_e,v1,v2,v3,a1,a2,a3
2023-04-12 00:09:00,5732.620,233.336,227.280,238.240,0.391,0.380,0.039
2023-04-12 00:20:00,5732.626,232.621,226.603,237.725,0.394,0.384,0.041
2023-04-12 00:30:00,5732.633,232.939,226.727,237.465,0.388,0.378,0.039
2023-04-12 00:40:00,5732.640,232.842,226.734,237.602,0.386,0.376,0.039
2023-04-12 00:50:00,5732.647,232.845,226.619,237.416,0.394,0.384,0.040
2023-04-12 01:00:00,5732.654,231.628,225.332,236.596,0.386,0.376,0.040
2023-04-12 01:10:00,5732.661,233.054,226.127,236.285,0.393,0.382,0.040
2023-04-12 01:19:00,5732.667,233.711,227.551,238.177,0.392,0.381,0.040
2023-04-12 01:30:00,5732.674,233.290,227.634,238.047,0.386,0.375,0.041
2023-04-12 01:40:00,5732.681,231.410,225.679,236.715,0.387,0.377,0.041
2023-04-12 01:50:00,5732.688,232.847,226.442,237.784,0.393,0.382,0.040
2023-04-12 02:00:00,5732.694,232.421,226.569,237.320,0.389,0.379,0.042
2023-04-12 02:09:00,5732.702,234.149,228.862,238.942,0.391,0.380,0.040
2023-04-12 02:20:00,5732.708,234.196,228.375,238.762,0.390,0.380,0.040
2023-04-12 02:30:00,5732.715,234.327,229.144,239.376,0.391,0.381,0.040
2023-04-12 02:40:00,5732.722,234.613,229.366,239.578,0.395,0.386,0.040
2023-04-12 02:50:00,5732.729,234.364,228.531,239.735,0.390,0.379,0.041
2023-04-12 03:00:00,5732.736,231.797,225.496,236.893,0.391,0.380,0.040
2023-04-12 03:10:00,5732.743,231.819,225.561,236.919,0.390,0.380,0.042
2023-04-12 03:20:00,5732.750,231.957,225.796,236.860,0.389,0.379,0.041
2023-04-12 03:30:00,5732.756,232.757,226.149,237.747,0.389,0.378,0.042
2023-04-12 03:40:00,5732.763,233.483,226.976,238.151,0.393,0.383,0.042
2023-04-12 03:50:00,5732.770,233.192,226.401,238.251,0.395,0.384,0.042
2023-04-12 04:00:00,5732.776,233.421,226.970,238.517,0.390,0.379,0.042
2023-04-12 04:09:00,5732.783,233.516,227.129,238.593,0.390,0.380,0.041
2023-04-12 04:20:00,5732.790,233.601,227.340,238.585,0.394,0.383,0.042
2023-04-12 04:30:00,5732.797,234.089,227.954,239.018,0.392,0.381,0.041
2023-04-12 04:40:00,5732.804,232.720,226.941,238.246,0.388,0.377,0.041
2023-04-12 04:50:00,5732.811,232.533,226.194,237.665,0.394,0.384,0.042
2023-04-12 05:00:00,5732.817,231.974,226.093,237.364,0.389,0.379,0.042
2023-04-12 05:10:00,5732.824,232.318,226.004,236.952,0.390,0.381,0.041
