dtime,total_e,v1,v2,v3,a1,a2,a3
2023-04-07 00:09:00,55931.060,135.840,132.393,135.460,1.678,0.172,1.560
2023-04-07 00:20:00,55931.140,136.348,132.783,136.217,1.680,0.169,1.563
2023-04-07 00:30:00,55931.210,135.400,131.458,134.789,1.673,0.170,1.556
2023-04-07 00:40:00,55931.400,134.212,130.599,133.736,1.668,0.173,1.550
2023-04-07 00:50:00,55931.470,135.113,131.453,134.560,1.668,0.169,1.553
2023-04-07 01:00:00,55931.540,134.856,130.924,133.718,1.669,0.172,1.552
2023-04-07 01:09:00,55931.730,134.913,131.091,134.311,1.665,0.167,1.549
2023-04-07 01:19:00,55931.800,134.199,130.235,133.364,1.663,0.168,1.546
2023-04-07 01:30:00,55931.880,135.270,131.773,134.873,1.672,0.170,1.555
2023-04-07 01:40:00,55933.050,130.403,126.502,129.992,21.897,20.789,21.640
2023-04-07 01:50:00,55934.300,130.580,125.925,130.129,22.226,20.383,21.681
2023-04-07 02:00:00,55935.540,131.382,127.129,131.274,21.893,20.350,21.697
2023-04-07 02:10:00,55936.910,131.026,126.878,130.793,21.943,20.503,21.729
2023-04-07 02:20:00,55937.940,136.701,132.704,136.719,1.683,0.170,1.565
2023-04-07 02:30:00,55938.010,136.905,132.363,136.359,1.684,0.172,1.566
2023-04-07 02:40:00,55938.200,137.522,133.443,137.244,1.687,0.169,1.570
2023-04-07 02:50:00,55938.280,136.741,132.675,136.214,1.679,0.168,1.563
2023-04-07 02:59:00,55938.350,136.662,132.498,135.615,1.678,0.170,1.560
2023-04-07 03:09:00,55938.540,137.032,132.575,136.442,1.684,0.171,1.566
2023-04-07 03:19:00,55938.610,136.906,132.578,136.252,1.676,0.167,1.559
2023-04-07 03:30:00,55938.670,133.268,128.893,132.797,1.662,0.168,1.546
2023-04-07 03:40:00,55938.780,128.305,123.381,127.302,12.132,13.052,11.329
2023-04-07 03:49:00,55938.920,136.783,131.503,136.513,1.680,0.169,1.563
2023-04-07 04:00:00,55939.000,137.003,131.835,136.758,1.682,0.171,1.564
2023-04-07 04:09:00,55939.070,136.590,131.573,136.342,1.675,0.167,1.558
2023-04-07 04:19:00,55939.620,129.222,123.861,129.488,25.693,24.705,22.037
2023-04-07 04:29:00,55940.860,129.766,125.108,129.739,21.872,20.735,21.489
2023-04-07 04:39:00,55942.100,131.595,127.002,131.972,21.713,20.587,21.643
2023-04-07 04:49:00,55943.460,131.560,126.285,131.398,22.022,20.348,21.399
2023-04-07 04:59:00,55944.700,131.124,126.039,130.957,22.119,20.517,21.547
2023-04-07 05:09:00,55945.360,127.163,122.384,126.839,31.289,31.029,30.760
2023-04-07 05:19:00,55947.140,126.602,121.399,126.025,31.666,30.843,30.647
2023-04-07 05:30:00,55949.050,126.217,121.518,125.860,31.270,31.103,30.848
2023-04-07 05:40:00,55950.840,125.850,120.752,125.533,33.108,33.811,31.277
2023-04-07 05:50:00,55952.960,126.094,121.288,125.248,29.871,29.552,29.000
2023-04-07 06:00:00,55954.410,130.006,125.150,129.228,22.346,21.677,21.967
2023-04-07 06:09:00,55955.940,127.370,123.047,126.749,30.995,30.495,30.324
2023-04-07 06:19:00,55957.500,125.234,119.919,124.225,40.618,40.260,38.343
2023-04-07 06:30:00,55959.160,127.750,123.150,126.754,33.398,31.351,31.926
2023-04-07 06:40:00,55961.460,125.084,119.986,123.994,43.237,42.326,40.549
2023-04-07 06:50:00,55963.570,126.223,121.019,125.376,41.661,40.135,39.176
