dtime,total_e,v1,v2,v3,a1,a2,a3
2023-04-04 00:10:00,55653.430,137.066,132.306,135.360,1.679,0.167,1.563
2023-04-04 00:20:00,55653.500,137.807,131.927,136.951,4.900,4.379,1.572
2023-04-04 00:30:00,55653.570,137.459,132.703,135.730,1.679,0.168,1.563
2023-04-04 00:40:00,55653.750,136.684,132.097,135.375,1.676,0.170,1.559
2023-04-04 00:50:00,55653.820,136.391,131.915,135.254,1.675,0.169,1.559
2023-04-04 01:00:00,55653.890,134.627,130.264,133.338,1.663,0.171,1.548
2023-04-04 01:09:00,55654.080,134.508,129.783,132.769,1.662,0.168,1.546
2023-04-04 01:19:00,55654.150,136.281,131.063,134.381,1.671,0.170,1.554
2023-04-04 01:29:00,55654.220,137.078,131.855,135.513,1.677,0.171,1.560
2023-04-04 01:40:00,55655.420,131.628,127.340,130.785,22.161,20.642,21.486
2023-04-04 01:50:00,55656.680,131.526,126.534,130.667,22.476,20.290,21.542
2023-04-04 02:00:00,55657.930,132.834,127.519,131.841,22.536,20.093,21.435
2023-04-04 02:09:00,55659.290,130.685,126.277,129.965,22.222,20.540,21.554
2023-04-04 02:20:00,55660.310,137.958,132.263,137.775,4.897,4.379,1.570
2023-04-04 02:29:00,55660.380,137.929,132.388,136.704,1.685,0.168,1.567
2023-04-04 02:39:00,55660.560,138.314,132.439,137.766,4.903,4.396,1.574
2023-04-04 02:49:00,55660.640,137.119,132.884,136.234,1.680,0.171,1.561
2023-04-04 02:59:00,55660.710,136.287,131.273,134.711,1.674,0.168,1.557
2023-04-04 03:09:00,55660.880,136.744,131.343,134.841,1.675,0.166,1.559
2023-04-04 03:19:00,55660.960,136.098,131.471,134.899,1.670,0.167,1.553
2023-04-04 03:30:00,55661.030,137.652,133.102,136.374,1.678,0.169,1.562
2023-04-04 03:39:00,55661.210,135.297,130.340,133.724,1.667,0.167,1.550
2023-04-04 03:50:00,55661.280,136.987,132.197,135.972,1.675,0.168,1.558
2023-04-04 04:00:00,55661.350,136.891,132.377,136.336,1.678,0.166,1.562
2023-04-04 04:10:00,55661.540,136.820,131.418,136.080,1.678,0.166,1.563
2023-04-04 04:20:00,55661.930,130.662,125.967,130.075,22.513,20.768,21.810
2023-04-04 04:30:00,55663.190,130.452,125.894,129.797,22.136,20.583,21.466
2023-04-04 04:40:00,55664.500,127.981,122.698,127.489,33.818,32.870,32.251
2023-04-04 04:50:00,55665.790,130.881,126.041,130.700,22.276,20.234,21.821
2023-04-04 05:00:00,55667.050,130.481,125.677,129.546,22.437,21.704,21.864
2023-04-04 05:10:00,55668.730,127.040,121.724,126.423,33.416,32.699,31.050
