dtime,total_e,v1,v2,v3,a1,a2,a3
2023-04-19 00:09:00,5783.371,235.372,228.319,239.755,0.400,0.389,0.040
2023-04-19 00:19:00,5783.377,234.447,228.598,240.368,0.400,0.390,0.039
2023-04-19 00:29:00,5783.384,235.477,228.910,241.015,0.397,0.387,0.039
2023-04-19 00:39:00,5783.392,235.626,229.006,241.039,0.403,0.392,0.038
2023-04-19 00:50:00,5783.398,235.972,229.335,241.076,0.402,0.393,0.039
2023-04-19 01:00:00,5783.405,234.694,227.920,239.560,0.400,0.390,0.039
2023-04-19 01:10:00,5783.412,235.030,228.766,240.258,0.400,0.389,0.039
2023-04-19 01:20:00,5783.419,234.776,228.189,239.911,0.402,0.393,0.038
2023-04-19 01:30:00,5783.426,233.343,226.889,238.757,0.397,0.387,0.037
2023-04-19 01:40:00,5783.433,233.290,226.973,239.015,0.401,0.392,0.037
2023-04-19 01:50:00,5783.439,233.656,226.941,239.301,0.401,0.391,0.037
2023-04-19 02:00:00,5783.446,233.781,227.012,239.440,0.399,0.389,0.039
2023-04-19 02:09:00,5783.453,235.755,229.348,241.045,0.394,0.384,0.038
2023-04-19 02:20:00,5783.460,235.356,229.269,241.387,0.398,0.388,0.037
2023-04-19 02:30:00,5783.467,235.412,229.351,241.247,0.399,0.388,0.038
2023-04-19 02:40:00,5783.474,236.260,229.092,240.571,0.398,0.388,0.038
2023-04-19 02:50:00,5783.481,233.984,227.757,239.096,0.398,0.388,0.038
2023-04-19 03:00:00,5783.488,234.665,227.802,240.022,0.394,0.384,0.039
2023-04-19 03:09:00,5783.495,233.749,226.959,239.353,0.396,0.387,0.038
2023-04-19 03:19:00,5783.501,233.187,226.637,239.205,0.396,0.386,0.038
2023-04-19 03:30:00,5783.508,232.616,226.274,238.637,0.397,0.387,0.037
2023-04-19 03:40:00,5783.515,234.491,227.815,240.410,0.399,0.389,0.038
2023-04-19 03:50:00,5783.522,235.048,228.196,240.955,0.401,0.391,0.039
2023-04-19 04:00:00,5783.529,234.786,227.926,240.672,0.402,0.391,0.038
2023-04-19 04:09:00,5783.536,234.880,227.694,240.564,0.398,0.388,0.038
2023-04-19 04:19:00,5783.542,235.549,228.071,241.058,0.403,0.392,0.039
2023-04-19 04:29:00,5783.549,234.838,227.840,240.525,0.401,0.391,0.040
2023-04-19 04:40:00,5783.556,234.598,227.586,240.705,0.399,0.389,0.040
2023-04-19 04:50:00,5783.563,233.488,226.097,240.110,0.401,0.390,0.039
2023-04-19 05:00:00,5783.570,233.301,225.926,239.603,0.399,0.388,0.039
2023-04-19 05:10:00,5783.577,234.132,225.989,238.744,0.396,0.386,0.037
2023-04-19 05:20:00,5783.583,234.855,227.534,240.315,0.399,0.388,0.038
2023-04-19 05:30:00,5783.590,233.037,225.927,239.088,0.395,0.386,0.038
2023-04-19 05:40:00,5783.792,233.461,227.840,237.069,9.822,9.458,9.251
2023-04-19 05:50:00,5784.006,235.289,229.418,238.385,9.711,9.350,9.149
2023-04-19 06:00:00,5784.026,236.600,230.399,241.952,0.428,0.418,0.037
2023-04-19 06:10:00,5784.033,236.898,230.764,242.943,0.428,0.419,0.037
