dtime,total_e,v1,v2,v3,a1,a2,a3
2023-04-18 00:09:00,5770.401,234.860,228.841,239.530,0.403,0.394,0.038
2023-04-18 00:19:00,5770.408,235.314,229.636,240.313,0.406,0.396,0.039
2023-04-18 00:29:00,5770.415,235.456,229.792,240.208,0.402,0.391,0.039
2023-04-18 00:40:00,5770.422,235.897,229.804,239.852,0.406,0.396,0.038
2023-04-18 00:50:00,5770.429,235.805,230.353,240.515,0.406,0.395,0.039
2023-04-18 01:00:00,5770.436,236.096,229.997,240.031,0.406,0.395,0.039
2023-04-18 01:09:00,5770.442,237.148,231.165,241.716,0.404,0.393,0.039
2023-04-18 01:19:00,5770.450,236.425,230.641,241.244,0.404,0.394,0.038
2023-04-18 01:30:00,5770.457,236.323,230.650,240.926,0.403,0.393,0.037
2023-04-18 01:40:00,5770.463,235.875,229.517,240.782,0.405,0.396,0.038
2023-04-18 01:50:00,5770.470,231.857,226.016,237.039,0.404,0.395,0.036
2023-04-18 02:00:00,5770.477,234.056,228.173,239.121,0.400,0.390,0.037
2023-04-18 02:09:00,5770.484,236.180,230.197,240.785,0.406,0.396,0.038
2023-04-18 02:19:00,5770.491,234.869,228.933,239.837,0.401,0.392,0.037
2023-04-18 02:30:00,5770.498,236.124,229.895,240.607,0.399,0.389,0.037
2023-04-18 02:40:00,5770.505,236.449,230.737,241.602,0.399,0.390,0.035
2023-04-18 02:50:00,5770.512,236.261,230.381,240.994,0.403,0.392,0.038
2023-04-18 03:00:00,5770.519,236.735,230.518,241.183,0.399,0.388,0.038
2023-04-18 03:09:00,5770.526,235.579,229.040,239.976,0.396,0.386,0.038
2023-04-18 03:20:00,5770.533,234.975,228.341,240.113,0.398,0.388,0.036
2023-04-18 03:30:00,5770.540,235.409,229.215,240.480,0.396,0.386,0.036
2023-04-18 03:40:00,5770.547,237.565,231.272,241.780,0.399,0.391,0.036
2023-04-18 03:50:00,5770.554,236.322,230.184,240.664,0.397,0.387,0.036
2023-04-18 04:00:00,5770.561,237.436,231.028,241.623,0.398,0.388,0.036
2023-04-18 04:09:00,5770.568,237.468,230.627,242.162,0.398,0.389,0.036
2023-04-18 04:19:00,5770.575,237.525,230.846,242.149,0.397,0.387,0.035
2023-04-18 04:29:00,5770.582,237.117,230.861,241.736,0.397,0.387,0.037
2023-04-18 04:39:00,5770.589,238.173,231.017,242.307,0.398,0.388,0.036
2023-04-18 04:49:00,5770.596,233.979,227.173,238.511,0.395,0.384,0.036
2023-04-18 05:00:00,5770.603,232.939,225.874,237.690,0.394,0.384,0.037
2023-04-18 05:09:00,5770.609,234.097,226.371,237.870,0.395,0.386,0.036
2023-04-18 05:20:00,5770.616,234.494,227.571,238.576,0.395,0.384,0.038
2023-04-18 05:30:00,5770.623,233.732,227.205,238.191,0.398,0.388,0.038
2023-04-18 05:40:00,5770.829,233.081,227.233,235.500,9.849,9.504,9.287
2023-04-18 05:50:00,5771.048,236.875,230.756,238.022,9.697,9.340,9.129
2023-04-18 06:00:00,5771.262,238.158,232.272,239.127,9.623,9.274,9.058
2023-04-18 06:10:00,5771.368,237.702,231.154,241.315,0.431,0.422,0.039
2023-04-18 06:20:00,5771.375,236.382,229.759,240.291,0.427,0.417,0.040
2023-04-18 06:30:00,5771.383,237.262,231.137,240.944,0.427,0.416,0.040
2023-04-18 06:40:00,5771.390,236.056,228.961,239.290,0.429,0.419,0.041
2023-04-18 06:50:00,5771.397,236.107,228.641,238.929,0.426,0.416,0.041
2023-04-18 07:00:00,5771.405,234.150,228.495,237.995,0.426,0.416,0.039
2023-04-18 07:09:00,5771.412,235.593,229.539,239.268,0.423,0.413,0.037
2023-04-18 07:19:00,5771.419,232.865,227.530,238.306,0.422,0.412,0.037
2023-04-18 07:30:00,5771.427,234.549,229.309,239.273,0.423,0.413,0.037
2023-04-18 07:40:00,5771.434,234.561,229.452,239.367,0.409,0.399,0.036
2023-04-18 07:49:00,5771.441,235.640,230.233,240.599,0.411,0.401,0.036
