dtime,total_e,v1,v2,v3,a1,a2,a3
2023-04-22 00:09:00,5816.640,234.812,227.788,236.734,0.405,0.394,0.038
2023-04-22 00:19:00,5816.646,234.777,228.037,237.027,0.398,0.389,0.037
2023-04-22 00:30:00,5816.653,235.342,228.260,237.721,0.406,0.395,0.037
2023-04-22 00:40:00,5816.661,236.339,228.699,238.341,0.401,0.391,0.038
2023-04-22 00:50:00,5816.667,232.681,225.386,234.541,0.398,0.388,0.038
2023-04-22 01:00:00,5816.674,233.703,225.666,235.197,0.402,0.391,0.038
2023-04-22 01:09:00,5816.681,233.523,225.536,235.469,0.402,0.392,0.036
2023-04-22 01:20:00,5816.687,233.109,225.442,234.772,0.402,0.392,0.037
2023-04-22 01:30:00,5816.694,233.388,225.915,235.810,0.402,0.392,0.037
2023-04-22 01:40:00,5816.701,233.330,225.366,235.426,0.405,0.395,0.037
2023-04-22 01:50:00,5816.708,232.006,224.112,234.609,0.399,0.390,0.037
2023-04-22 02:00:00,5816.715,234.736,226.142,236.626,0.400,0.390,0.037
2023-04-22 02:10:00,5816.722,234.953,226.350,236.918,0.400,0.391,0.037
2023-04-22 02:20:00,5816.729,235.488,226.566,237.055,0.400,0.390,0.037
2023-04-22 02:30:00,5816.736,236.051,226.470,236.790,0.397,0.387,0.037
2023-04-22 02:39:00,5816.743,235.714,227.054,236.911,0.400,0.391,0.037
2023-04-22 02:50:00,5816.750,235.295,226.772,236.982,0.402,0.393,0.037
2023-04-22 03:00:00,5816.756,233.544,225.536,235.935,0.400,0.389,0.038
2023-04-22 03:10:00,5816.763,234.704,226.160,236.633,0.403,0.393,0.036
2023-04-22 03:20:00,5816.770,233.966,225.279,236.035,0.401,0.391,0.037
2023-04-22 03:30:00,5816.777,233.273,224.936,235.722,0.403,0.393,0.036
2023-04-22 03:40:00,5816.784,235.626,227.211,237.149,0.401,0.392,0.037
2023-04-22 03:50:00,5816.791,236.722,227.905,238.125,0.401,0.391,0.036
2023-04-22 04:00:00,5816.798,234.713,225.399,235.776,0.401,0.391,0.037
2023-04-22 04:09:00,5816.805,233.297,224.405,235.008,0.401,0.392,0.037
2023-04-22 04:20:00,5816.812,234.347,225.544,235.711,0.399,0.390,0.037
2023-04-22 04:30:00,5816.818,234.800,225.141,235.989,0.402,0.393,0.037
2023-04-22 04:39:00,5816.825,234.266,224.427,234.842,0.403,0.393,0.037
2023-04-22 04:49:00,5816.832,233.049,222.924,234.548,0.398,0.388,0.037
2023-04-22 05:00:00,5816.839,234.423,223.985,235.408,0.401,0.392,0.038
2023-04-22 05:10:00,5816.846,233.676,223.806,235.098,0.401,0.391,0.038
2023-04-22 05:20:00,5816.853,234.997,224.849,235.435,0.401,0.391,0.039
2023-04-22 05:30:00,5816.892,233.837,223.879,232.071,10.095,9.748,9.531
2023-04-22 05:40:00,5817.110,234.153,224.137,232.062,9.912,9.572,9.357
2023-04-22 05:50:00,5817.326,234.841,224.786,233.167,9.860,9.506,9.295
2023-04-22 06:00:00,5817.542,235.481,225.497,233.355,9.830,9.483,9.270
2023-04-22 06:09:00,5817.771,235.757,226.366,234.099,9.799,9.453,9.234
2023-04-22 06:19:00,5817.936,239.384,229.397,239.403,0.426,0.415,0.041
2023-04-22 06:30:00,5817.943,238.724,228.910,239.292,0.424,0.413,0.041
2023-04-22 06:40:00,5817.951,238.795,228.425,238.951,0.421,0.410,0.040
2023-04-22 06:50:00,5817.958,237.332,227.036,237.921,0.421,0.411,0.038
2023-04-22 07:00:00,5817.965,238.811,229.016,238.732,0.421,0.410,0.038
2023-04-22 07:09:00,5817.973,237.755,228.273,238.327,0.422,0.412,0.039
2023-04-22 07:20:00,5817.980,238.127,229.280,239.165,0.421,0.411,0.040
2023-04-22 07:30:00,5817.987,240.979,230.914,241.587,0.422,0.411,0.042
2023-04-22 07:40:00,5817.995,240.296,232.031,241.200,0.425,0.413,0.041
2023-04-22 07:50:00,5818.002,238.657,229.549,240.836,0.395,0.383,0.038
2023-04-22 08:00:00,5818.010,237.227,229.189,239.246,0.398,0.386,0.038
2023-04-22 08:09:00,5818.018,235.483,227.594,236.898,0.404,0.392,0.039
2023-04-22 08:19:00,5818.025,237.190,229.570,238.834,0.403,0.392,0.038
2023-04-22 08:29:00,5818.032,238.672,230.552,240.211,0.400,0.388,0.038
2023-04-22 08:40:00,5818.040,237.861,230.548,239.274,0.405,0.394,0.038
2023-04-22 08:50:00,5818.047,238.094,230.972,240.063,0.401,0.389,0.039
2023-04-22 09:00:00,5818.054,236.731,230.918,239.140,0.402,0.391,0.039
2023-04-22 09:09:00,5818.062,236.242,230.142,239.293,0.397,0.386,0.038
2023-04-22 09:19:00,5818.069,237.035,231.004,240.260,0.398,0.385,0.041
2023-04-22 09:30:00,5818.076,235.516,229.966,239.708,0.416,0.407,0.040
2023-04-22 09:40:00,5818.170,232.383,227.005,234.658,9.946,9.573,9.383
2023-04-22 09:50:00,5818.383,228.999,225.612,233.370,9.922,9.552,9.372
2023-04-22 10:00:00,5818.594,228.569,226.477,233.537,9.890,9.532,9.345
2023-04-22 10:09:00,5818.805,230.814,228.594,235.800,9.808,9.440,9.261
2023-04-22 10:20:00,5819.015,233.594,230.544,237.236,9.737,9.363,9.178
2023-04-22 10:30:00,5819.226,231.115,227.875,235.302,9.819,9.445,9.263
2023-04-22 10:40:00,5819.436,231.691,229.964,235.587,9.779,9.413,9.233
2023-04-22 10:50:00,5819.520,231.030,229.293,235.247,9.795,9.430,9.251
2023-04-22 11:00:00,5819.846,229.744,228.671,235.480,9.810,9.454,9.250
2023-04-22 11:10:00,5820.055,229.860,229.635,234.790,9.802,9.460,9.249
2023-04-22 11:20:00,5820.265,229.923,229.352,235.106,9.800,9.452,9.246
2023-04-22 11:30:00,5820.472,230.962,230.466,235.888,9.768,9.416,9.206
2023-04-22 11:40:00,5820.681,231.397,231.696,236.751,9.734,9.381,9.181
2023-04-22 11:50:00,5820.890,232.029,232.429,237.124,9.720,9.367,9.162
2023-04-22 12:00:00,5821.100,233.471,233.619,238.382,9.669,9.311,9.112
2023-04-22 12:10:00,5821.309,232.352,233.681,238.704,9.682,9.319,9.124
2023-04-22 12:20:00,5821.518,234.651,235.582,240.127,9.621,9.255,9.062
2023-04-22 12:30:00,5821.727,233.563,233.500,239.446,9.663,9.293,9.096
2023-04-22 12:40:00,5821.937,232.844,232.768,237.711,9.699,9.339,9.136
2023-04-22 12:50:00,5822.146,233.811,234.577,239.322,9.651,9.286,9.088
2023-04-22 13:00:00,5822.352,231.803,232.745,237.793,9.710,9.350,9.148
2023-04-22 13:10:00,5822.572,229.016,230.757,235.866,10.661,10.603,10.269
2023-04-22 13:20:00,5822.805,228.703,229.941,234.925,9.816,9.466,9.255
2023-04-22 13:30:00,5823.014,228.798,229.157,234.645,10.728,10.608,10.362
2023-04-22 13:40:00,5823.246,229.015,231.109,235.428,9.788,9.439,9.233
2023-04-22 13:50:00,5823.455,230.801,233.018,237.399,9.728,9.369,9.161
2023-04-22 14:00:00,5823.663,231.185,233.183,237.763,9.717,9.357,9.151
2023-04-22 14:10:00,5823.871,230.845,233.503,237.347,9.715,9.361,9.159
2023-04-22 14:20:00,5824.079,230.792,232.599,237.026,9.742,9.369,9.180
2023-04-22 14:30:00,5824.287,231.640,232.342,237.680,9.728,9.344,9.165
2023-04-22 14:40:00,5824.495,231.316,232.621,236.830,9.731,9.360,9.178
2023-04-22 14:50:00,5824.703,231.953,233.320,237.187,9.704,9.347,9.144
2023-04-22 15:00:00,5824.911,231.677,232.898,237.172,9.713,9.357,9.152
2023-04-22 15:09:00,5825.120,232.491,234.782,238.262,9.666,9.312,9.113
2023-04-22 15:19:00,5825.329,231.761,233.470,237.282,9.700,9.345,9.145
2023-04-22 15:29:00,5825.535,232.202,232.946,237.029,9.704,9.348,9.147
2023-04-22 15:40:00,5825.744,230.005,230.931,235.123,9.782,9.420,9.231
2023-04-22 15:50:00,5825.953,230.249,232.120,236.090,9.758,9.386,9.212
2023-04-22 16:00:00,5826.161,231.027,232.285,236.449,9.743,9.370,9.196
2023-04-22 16:09:00,5826.370,232.278,233.575,237.521,9.703,9.331,9.153
2023-04-22 16:20:00,5826.579,232.829,234.154,237.110,9.690,9.328,9.143
2023-04-22 16:29:00,5826.788,232.001,232.317,236.843,9.728,9.357,9.175
2023-04-22 16:40:00,5826.998,230.848,232.258,236.133,13.996,9.386,12.944
2023-04-22 16:50:00,5827.212,230.828,231.572,235.407,9.756,9.406,9.204
2023-04-22 16:59:00,5827.420,231.005,230.487,235.704,9.773,9.411,9.211
2023-04-22 17:10:00,5827.629,230.790,230.260,234.852,9.784,9.431,9.227
2023-04-22 17:19:00,5827.839,230.685,229.892,234.494,9.792,9.441,9.234
2023-04-22 17:30:00,5828.049,230.654,229.021,235.106,9.805,9.441,9.239
2023-04-22 17:40:00,5828.260,230.635,227.970,232.959,9.842,9.495,9.276
2023-04-22 17:50:00,5828.470,228.158,225.880,231.442,9.917,9.573,9.356
2023-04-22 18:00:00,5828.681,231.324,228.564,234.719,9.811,9.453,9.243
2023-04-22 18:10:00,5828.716,230.974,228.399,235.780,0.402,0.394,0.039
2023-04-22 18:20:00,5828.723,232.741,229.804,236.652,0.403,0.393,0.039
2023-04-22 18:30:00,5828.730,232.460,227.815,235.852,0.400,0.391,0.040
2023-04-22 18:40:00,5828.737,232.068,228.277,235.522,0.403,0.392,0.041
2023-04-22 18:50:00,5828.744,232.999,228.755,236.159,0.406,0.397,0.040
2023-04-22 19:00:00,5828.750,234.080,228.780,236.185,0.407,0.398,0.040
2023-04-22 19:09:00,5828.757,233.883,229.013,236.128,0.409,0.399,0.041
