dtime,total_e,v1,v2,v3,a1,a2,a3
2023-04-23 00:09:00,57397.320,132.452,129.052,131.250,1.673,0.172,1.557
2023-04-23 00:19:00,57397.480,131.541,128.131,130.415,1.665,0.173,1.549
2023-04-23 00:29:00,57397.550,130.235,126.958,129.163,1.661,0.171,1.546
2023-04-23 00:39:00,57397.720,128.365,124.496,127.287,12.592,13.416,12.190
2023-04-23 00:50:00,57397.800,132.659,129.083,131.773,1.672,0.167,1.557
2023-04-23 01:00:00,57397.870,133.740,129.826,132.816,1.678,0.168,1.563
2023-04-23 01:10:00,57398.050,134.556,130.567,133.998,1.683,0.166,1.567
2023-04-23 01:20:00,57398.120,134.978,130.733,134.300,1.682,0.166,1.568
2023-04-23 01:30:00,57398.180,135.221,130.904,134.852,1.687,0.169,1.571
2023-04-23 01:40:00,57399.470,127.449,123.527,126.609,22.181,20.732,21.676
2023-04-23 01:50:00,57400.700,127.471,123.542,126.718,22.145,20.638,21.689
2023-04-23 02:00:00,57401.930,127.508,123.709,126.732,22.194,20.684,21.751
2023-04-23 02:09:00,57403.260,127.716,124.010,126.912,22.067,20.647,21.673
2023-04-23 02:19:00,57404.150,135.416,131.368,134.990,1.687,0.169,1.571
2023-04-23 02:30:00,57404.210,135.802,131.892,135.423,1.692,0.169,1.576
2023-04-23 02:40:00,57404.390,132.839,128.838,132.234,1.673,0.165,1.559
2023-04-23 02:50:00,57404.460,132.352,128.047,131.635,1.672,0.169,1.556
2023-04-23 03:00:00,57404.550,129.878,125.354,129.163,12.272,12.574,11.833
2023-04-23 03:10:00,57404.710,132.530,128.525,131.929,1.668,0.164,1.555
2023-04-23 03:20:00,57404.770,132.398,128.250,131.559,1.671,0.170,1.556
2023-04-23 03:30:00,57404.950,130.179,125.283,129.397,12.885,13.099,12.233
2023-04-23 03:40:00,57405.020,132.459,128.272,131.888,1.674,0.171,1.558
2023-04-23 03:50:00,57405.090,131.989,127.791,131.509,1.670,0.167,1.554
2023-04-23 04:00:00,57405.260,132.749,128.768,132.228,1.672,0.169,1.557
2023-04-23 04:10:00,57405.330,133.058,128.842,132.629,1.675,0.168,1.560
