dtime,total_e,v1,v2,v3,a1,a2,a3
2023-04-29 00:09:00,5902.526,231.326,224.783,235.783,0.401,0.390,0.039
2023-04-29 00:19:00,5902.533,231.340,224.774,235.876,0.399,0.389,0.037
2023-04-29 00:30:00,5902.540,230.590,223.960,235.666,0.394,0.385,0.036
2023-04-29 00:40:00,5902.546,231.076,224.726,236.297,0.398,0.387,0.038
2023-04-29 00:50:00,5902.553,231.081,224.677,236.299,0.399,0.388,0.039
2023-04-29 01:00:00,5902.560,231.325,224.177,235.915,0.398,0.388,0.037
2023-04-29 01:09:00,5902.566,231.135,224.328,236.545,0.401,0.392,0.037
2023-04-29 01:19:00,5902.573,231.048,223.791,235.687,0.398,0.388,0.037
2023-04-29 01:30:00,5902.580,231.224,224.356,236.281,0.406,0.395,0.038
2023-04-29 01:40:00,5902.586,230.471,222.875,235.492,0.397,0.387,0.038
2023-04-29 01:50:00,5902.593,230.836,222.973,235.156,0.398,0.389,0.037
2023-04-29 02:00:00,5902.600,230.410,222.606,234.768,0.398,0.388,0.038
2023-04-29 02:10:00,5902.606,233.053,225.382,237.078,0.397,0.387,0.037
2023-04-29 02:20:00,5902.613,231.972,224.608,236.739,0.396,0.386,0.037
2023-04-29 02:30:00,5902.620,233.100,224.997,237.782,0.400,0.389,0.038
2023-04-29 02:40:00,5902.627,232.591,224.905,237.192,0.398,0.388,0.039
2023-04-29 02:50:00,5902.634,232.658,224.433,236.723,0.397,0.388,0.038
2023-04-29 03:00:00,5902.641,232.407,224.659,237.223,0.395,0.385,0.038
2023-04-29 03:10:00,5902.647,231.024,223.479,236.806,0.395,0.385,0.039
2023-04-29 03:20:00,5902.654,231.840,223.792,236.834,0.395,0.385,0.039
2023-04-29 03:30:00,5902.661,231.433,223.965,237.203,0.394,0.384,0.038
2023-04-29 03:40:00,5902.667,231.992,224.890,237.651,0.396,0.386,0.038
2023-04-29 03:50:00,5902.674,233.255,225.953,238.616,0.398,0.387,0.040
2023-04-29 04:00:00,5902.681,233.729,226.260,238.865,0.397,0.387,0.037
2023-04-29 04:10:00,5902.688,233.777,226.020,238.502,0.398,0.389,0.038
2023-04-29 04:20:00,5902.695,233.365,225.752,238.519,0.398,0.387,0.037
