dtime,total_e,v1,v2,v3,a1,a2,a3
2023-04-05 00:09:00,5707.967,233.277,225.813,237.572,0.400,0.390,0.038
2023-04-05 00:19:00,5707.974,233.248,226.385,238.475,0.401,0.391,0.038
2023-04-05 00:30:00,5707.980,233.210,226.444,238.326,0.399,0.388,0.040
2023-04-05 00:40:00,5707.987,233.424,226.284,238.461,0.399,0.390,0.039
2023-04-05 00:50:00,5707.994,233.185,226.295,238.400,0.400,0.391,0.037
2023-04-05 01:00:00,5708.001,233.724,226.376,238.947,0.401,0.390,0.038
2023-04-05 01:10:00,5708.008,231.847,224.871,237.455,0.400,0.390,0.038
2023-04-05 01:19:00,5708.015,231.042,224.091,236.355,0.398,0.389,0.037
2023-04-05 01:29:00,5708.021,230.600,223.121,236.020,0.394,0.385,0.039
2023-04-05 01:39:00,5708.028,230.728,223.737,236.403,0.398,0.388,0.037
2023-04-05 01:49:00,5708.035,230.669,223.258,235.978,0.401,0.392,0.037
2023-04-05 01:59:00,5708.042,230.777,223.212,235.995,0.398,0.389,0.038
2023-04-05 02:09:00,5708.048,232.682,225.474,237.962,0.400,0.391,0.039
2023-04-05 02:20:00,5708.055,231.717,224.547,237.288,0.398,0.389,0.037
2023-04-05 02:30:00,5708.062,232.298,224.513,237.168,0.397,0.388,0.038
2023-04-05 02:40:00,5708.068,232.609,225.370,237.766,0.399,0.389,0.038
2023-04-05 02:50:00,5708.075,232.513,225.061,237.458,0.397,0.389,0.037
2023-04-05 03:00:00,5708.082,232.288,224.834,237.615,0.397,0.388,0.037
2023-04-05 03:09:00,5708.088,231.208,222.926,235.920,0.396,0.387,0.036
2023-04-05 03:20:00,5708.095,231.990,223.753,236.828,0.399,0.390,0.037
2023-04-05 03:29:00,5708.102,231.471,223.611,237.237,0.397,0.388,0.036
2023-04-05 03:39:00,5708.108,232.798,224.621,237.911,0.399,0.389,0.036
2023-04-05 03:50:00,5708.115,232.482,224.860,237.827,0.398,0.388,0.037
2023-04-05 04:00:00,5708.122,233.410,225.459,238.681,0.399,0.390,0.036
2023-04-05 04:09:00,5708.129,232.424,224.547,237.746,0.400,0.390,0.038
2023-04-05 04:19:00,5708.136,231.885,224.254,237.443,0.396,0.386,0.036
2023-04-05 04:29:00,5708.142,232.943,224.398,237.890,0.399,0.389,0.037
2023-04-05 04:39:00,5708.149,232.913,224.650,237.928,0.398,0.388,0.039
2023-04-05 04:49:00,5708.156,231.488,222.865,236.547,0.398,0.388,0.038
2023-04-05 04:59:00,5708.163,232.839,223.874,237.658,0.401,0.391,0.038
2023-04-05 05:09:00,5708.169,232.143,222.864,236.754,0.399,0.390,0.039
2023-04-05 05:20:00,5708.176,233.287,223.866,237.605,0.399,0.390,0.039
2023-04-05 05:30:00,5708.183,232.673,223.078,236.928,0.400,0.391,0.038
2023-04-05 05:40:00,5708.189,232.500,222.887,236.829,0.416,0.408,0.037
2023-04-05 05:50:00,5708.402,235.042,225.743,236.046,9.801,9.549,9.284
2023-04-05 06:00:00,5708.616,235.163,226.205,236.458,9.739,9.490,9.228
2023-04-05 06:09:00,5708.763,236.463,227.700,240.263,0.395,0.391,0.039
2023-04-05 06:19:00,5708.769,236.174,227.180,239.467,0.396,0.390,0.041
2023-04-05 06:29:00,5708.774,236.564,227.528,240.870,0.391,0.386,0.039
2023-04-05 06:40:00,5708.780,235.910,226.505,239.995,0.391,0.386,0.041
2023-04-05 06:50:00,5708.785,236.328,226.978,240.100,0.393,0.388,0.040
2023-04-05 07:00:00,5708.791,234.500,226.604,239.267,0.391,0.386,0.039
2023-04-05 07:09:00,5708.796,234.181,226.287,239.879,0.395,0.389,0.040
2023-04-05 07:19:00,5708.802,232.660,224.619,238.535,0.393,0.388,0.039
2023-04-05 07:29:00,5708.808,234.406,226.360,239.344,0.390,0.384,0.039
2023-04-05 07:39:00,5708.813,234.491,226.633,239.916,0.389,0.383,0.038
2023-04-05 07:49:00,5708.818,232.660,224.404,238.295,0.385,0.381,0.039
2023-04-05 07:59:00,5708.824,233.808,225.802,239.867,0.388,0.383,0.038
2023-04-05 08:09:00,5708.830,233.369,225.912,239.876,0.385,0.380,0.038
2023-04-05 08:19:00,5708.835,234.689,226.513,241.609,0.358,0.353,0.037
2023-04-05 08:29:00,5708.841,236.397,227.662,242.828,0.353,0.347,0.036
2023-04-05 08:39:00,5708.846,236.201,228.838,242.839,0.361,0.355,0.037
2023-04-05 08:50:00,5708.852,235.069,226.040,242.361,0.358,0.352,0.037
2023-04-05 09:00:00,5708.857,234.523,226.201,241.858,0.359,0.353,0.038
2023-04-05 09:10:00,5708.863,232.502,225.376,240.473,0.355,0.350,0.037
2023-04-05 09:20:00,5708.869,230.953,223.787,239.192,0.357,0.352,0.037
2023-04-05 09:30:00,5708.874,230.644,223.232,238.804,0.360,0.355,0.038
2023-04-05 09:40:00,5708.879,230.225,224.073,238.117,0.374,0.369,0.038
2023-04-05 09:50:00,5708.885,230.039,223.624,237.158,0.374,0.369,0.038
2023-04-05 10:00:00,5708.890,231.418,225.022,238.385,0.373,0.369,0.038
2023-04-05 10:09:00,5708.896,232.203,227.176,239.689,0.375,0.371,0.037
2023-04-05 10:20:00,5708.901,234.527,227.934,241.438,0.375,0.370,0.037
2023-04-05 10:30:00,5708.906,233.520,227.130,240.860,0.367,0.362,0.036
2023-04-05 10:40:00,5708.911,233.114,227.877,241.053,0.373,0.369,0.039
2023-04-05 10:50:00,5708.911,233.114,227.877,241.053,0.373,0.369,0.039
2023-04-05 11:00:00,5708.924,235.294,229.871,244.172,0.366,0.361,0.037
2023-04-05 11:09:00,5708.929,236.475,230.803,244.603,0.370,0.364,0.036
2023-04-05 11:19:00,5708.935,236.190,230.690,244.427,0.369,0.365,0.038
2023-04-05 11:29:00,5708.940,234.923,228.533,243.578,0.371,0.367,0.037
2023-04-05 11:39:00,5708.946,235.351,228.758,242.583,0.370,0.366,0.037
2023-04-05 11:50:00,5708.951,236.005,229.604,244.152,0.368,0.362,0.038
2023-04-05 12:00:00,5708.957,237.116,231.817,243.986,0.346,0.341,0.035
2023-04-05 12:10:00,5708.962,237.983,233.341,243.713,0.368,0.363,0.036
2023-04-05 12:20:00,5708.968,237.131,233.333,243.168,0.369,0.364,0.035
2023-04-05 12:30:00,5708.974,239.163,234.395,243.988,0.367,0.363,0.037
2023-04-05 12:40:00,5708.979,238.914,233.699,243.326,0.369,0.364,0.035
2023-04-05 12:50:00,5708.985,236.833,230.587,242.550,0.370,0.365,0.036
2023-04-05 13:00:00,5708.990,234.990,229.482,241.285,0.370,0.365,0.036
2023-04-05 13:10:00,5708.999,234.734,229.104,240.027,2.179,2.385,2.250
2023-04-05 13:19:00,5709.028,233.726,229.665,240.207,2.110,2.383,2.258
2023-04-05 13:30:00,5709.058,234.999,229.291,240.738,2.151,2.310,2.275
2023-04-05 13:40:00,5709.066,233.941,229.210,239.150,0.395,0.389,0.042
2023-04-05 13:50:00,5709.072,237.205,232.370,240.912,0.385,0.380,0.037
2023-04-05 14:00:00,5709.078,236.908,233.207,240.597,0.394,0.389,0.036
2023-04-05 14:10:00,5709.083,237.637,233.479,241.616,0.372,0.367,0.037
2023-04-05 14:20:00,5709.089,237.067,232.984,241.898,0.367,0.362,0.037
2023-04-05 14:30:00,5709.094,236.612,232.022,241.260,0.370,0.365,0.037
2023-04-05 14:40:00,5709.100,237.855,234.369,242.154,0.370,0.366,0.037
2023-04-05 14:50:00,5709.121,237.191,232.409,239.591,9.930,9.634,9.302
2023-04-05 15:00:00,5709.250,237.871,234.400,241.175,0.381,0.374,0.037
2023-04-05 15:09:00,5709.256,237.220,232.538,240.413,0.367,0.361,0.038
2023-04-05 15:19:00,5709.262,236.642,232.537,239.798,0.377,0.371,0.037
2023-04-05 15:29:00,5709.268,235.109,230.152,238.357,0.365,0.358,0.038
2023-04-05 15:39:00,5709.274,233.216,228.823,236.236,0.379,0.373,0.038
2023-04-05 15:49:00,5709.279,232.916,226.577,235.533,0.373,0.366,0.039
2023-04-05 15:59:00,5709.286,233.529,227.791,235.544,0.372,0.365,0.038
2023-04-05 16:10:00,5709.292,235.516,229.840,236.614,0.375,0.368,0.038
