dtime,total_e,v1,v2,v3,a1,a2,a3
2023-04-16 00:09:00,5746.128,233.117,225.383,236.762,0.387,0.375,0.041
2023-04-16 00:19:00,5746.135,232.343,224.527,236.600,0.386,0.376,0.040
2023-04-16 00:29:00,5746.142,233.312,225.374,237.630,0.390,0.379,0.040
2023-04-16 00:39:00,5746.148,231.089,222.961,235.145,0.391,0.380,0.041
2023-04-16 00:50:00,5746.155,231.149,223.243,235.160,0.394,0.383,0.042
2023-04-16 01:00:00,5746.162,229.813,221.707,234.527,0.387,0.377,0.042
2023-04-16 01:09:00,5746.168,230.599,222.536,234.599,0.393,0.384,0.040
2023-04-16 01:19:00,5746.175,230.726,222.609,234.881,0.389,0.378,0.040
2023-04-16 01:30:00,5746.182,232.591,223.766,235.662,0.392,0.381,0.040
2023-04-16 01:40:00,5746.188,230.203,221.535,234.063,0.393,0.383,0.039
2023-04-16 01:50:00,5746.195,230.741,221.858,234.408,0.395,0.383,0.040
2023-04-16 02:00:00,5746.202,230.167,221.639,234.302,0.386,0.375,0.039
2023-04-16 02:09:00,5746.208,233.034,224.867,236.682,0.395,0.384,0.040
2023-04-16 02:19:00,5746.215,233.184,224.743,236.905,0.392,0.380,0.040
2023-04-16 02:30:00,5746.222,234.284,225.524,237.594,0.397,0.387,0.042
2023-04-16 02:40:00,5746.229,232.685,224.515,236.809,0.391,0.380,0.040
2023-04-16 02:50:00,5746.236,233.904,225.604,237.605,0.392,0.381,0.041
2023-04-16 03:00:00,5746.243,233.142,224.232,237.106,0.391,0.380,0.040
2023-04-16 03:10:00,5746.250,232.863,223.988,236.952,0.392,0.380,0.040
2023-04-16 03:20:00,5746.256,233.397,224.360,237.388,0.392,0.380,0.040
2023-04-16 03:30:00,5746.263,234.379,225.275,238.184,0.391,0.380,0.040
2023-04-16 03:40:00,5746.270,234.418,226.116,238.714,0.391,0.379,0.040
2023-04-16 03:50:00,5746.277,234.392,226.060,238.506,0.395,0.384,0.040
2023-04-16 04:00:00,5746.284,234.234,225.124,238.321,0.392,0.381,0.039
2023-04-16 04:09:00,5746.291,235.031,226.457,238.742,0.393,0.382,0.040
2023-04-16 04:20:00,5746.297,235.590,226.508,239.091,0.393,0.382,0.041
2023-04-16 04:30:00,5746.304,234.804,226.365,238.721,0.393,0.382,0.040
2023-04-16 04:40:00,5746.312,234.769,226.083,238.739,0.392,0.381,0.039
2023-04-16 04:50:00,5746.318,235.228,226.161,238.996,0.395,0.383,0.040
2023-04-16 05:00:00,5746.325,234.049,224.975,238.177,0.392,0.382,0.041
2023-04-16 05:10:00,5746.332,234.158,225.118,238.112,0.395,0.384,0.043
2023-04-16 05:19:00,5746.339,235.213,225.967,238.477,0.392,0.380,0.042
2023-04-16 05:30:00,5746.346,233.967,225.293,237.944,0.392,0.381,0.042
2023-04-16 05:40:00,5746.542,233.382,225.015,235.164,9.798,9.529,9.244
2023-04-16 05:49:00,5746.763,235.774,228.312,237.710,9.735,9.384,9.192
2023-04-16 06:00:00,5746.982,235.345,227.728,236.946,9.742,9.398,9.191
2023-04-16 06:09:00,5747.179,236.415,229.901,241.105,0.421,0.410,0.043
2023-04-16 06:20:00,5747.187,236.377,229.227,241.846,0.420,0.409,0.043
