dtime,total_e,v1,v2,v3,a1,a2,a3
2023-04-07 00:09:00,5714.753,233.844,223.941,238.243,0.394,0.383,0.040
2023-04-07 00:20:00,5714.760,233.888,223.687,237.880,0.394,0.384,0.037
2023-04-07 00:30:00,5714.767,232.549,222.126,236.546,0.392,0.382,0.037
2023-04-07 00:40:00,5714.774,233.237,222.422,236.564,0.396,0.387,0.036
2023-04-07 00:50:00,5714.781,233.652,223.187,238.052,0.393,0.384,0.037
2023-04-07 01:00:00,5714.787,234.017,223.567,237.746,0.394,0.382,0.039
2023-04-07 01:09:00,5714.794,234.206,223.280,237.994,0.392,0.381,0.038
2023-04-07 01:19:00,5714.801,234.341,223.858,238.643,0.390,0.380,0.039
2023-04-07 01:30:00,5714.808,233.793,223.160,238.410,0.393,0.383,0.038
2023-04-07 01:40:00,5714.814,234.090,223.013,238.330,0.393,0.383,0.039
2023-04-07 01:50:00,5714.821,233.476,222.350,237.937,0.391,0.381,0.039
2023-04-07 02:00:00,5714.828,233.621,222.621,237.953,0.393,0.382,0.038
2023-04-07 02:10:00,5714.835,235.206,224.065,239.250,0.394,0.384,0.038
2023-04-07 02:20:00,5714.842,234.858,224.331,238.904,0.395,0.384,0.038
2023-04-07 02:30:00,5714.849,235.123,224.649,239.891,0.393,0.382,0.039
2023-04-07 02:40:00,5714.855,236.603,225.603,240.721,0.394,0.384,0.040
2023-04-07 02:50:00,5714.862,235.990,225.707,240.980,0.395,0.385,0.039
2023-04-07 02:59:00,5714.870,237.018,226.555,241.506,0.395,0.384,0.039
2023-04-07 03:09:00,5714.876,235.740,225.480,240.745,0.394,0.384,0.038
2023-04-07 03:19:00,5714.883,235.276,225.252,240.423,0.391,0.380,0.038
2023-04-07 03:30:00,5714.890,233.801,223.524,238.615,0.390,0.380,0.039
2023-04-07 03:40:00,5714.897,234.524,224.982,239.711,0.390,0.380,0.037
2023-04-07 03:49:00,5714.904,234.789,224.804,239.432,0.393,0.384,0.037
2023-04-07 04:00:00,5714.911,235.606,225.404,240.260,0.391,0.381,0.039
2023-04-07 04:09:00,5714.917,234.974,224.726,239.970,0.393,0.383,0.038
2023-04-07 04:19:00,5714.924,235.563,224.902,239.821,0.393,0.383,0.038
2023-04-07 04:29:00,5714.931,234.300,224.097,239.356,0.391,0.381,0.037
2023-04-07 04:39:00,5714.938,236.307,225.838,240.698,0.395,0.384,0.037
2023-04-07 04:49:00,5714.945,233.932,222.795,238.843,0.395,0.386,0.039
2023-04-07 04:59:00,5714.952,235.319,224.392,239.472,0.391,0.382,0.039
2023-04-07 05:09:00,5714.958,234.548,223.085,238.842,0.393,0.383,0.041
2023-04-07 05:19:00,5714.965,235.380,224.621,239.547,0.394,0.384,0.040
2023-04-07 05:30:00,5714.972,234.785,223.766,238.730,0.391,0.380,0.041
2023-04-07 05:40:00,5715.191,235.026,223.950,237.235,9.858,9.515,9.295
2023-04-07 05:50:00,5715.408,237.807,225.893,238.187,9.757,9.418,9.190
2023-04-07 06:00:00,5715.637,238.491,226.592,239.220,9.687,9.373,9.138
2023-04-07 06:09:00,5715.852,238.960,228.059,239.845,9.646,9.330,9.095
2023-04-07 06:19:00,5716.026,239.903,228.195,242.076,0.404,0.395,0.042
2023-04-07 06:30:00,5716.033,238.224,226.425,240.499,0.405,0.396,0.043
2023-04-07 06:40:00,5716.040,237.551,226.116,240.445,0.403,0.394,0.041
2023-04-07 06:50:00,5716.046,237.473,225.940,240.575,0.403,0.394,0.041
2023-04-07 07:00:00,5716.053,236.550,226.755,240.906,0.404,0.396,0.041
2023-04-07 07:10:00,5716.060,235.526,224.557,240.155,0.404,0.394,0.040
2023-04-07 07:19:00,5716.066,234.277,223.765,239.390,0.402,0.393,0.040
2023-04-07 07:29:00,5716.073,238.543,228.203,243.338,0.403,0.394,0.039
2023-04-07 07:39:00,5716.080,238.678,228.298,243.119,0.404,0.396,0.039
2023-04-07 07:49:00,5716.086,238.140,228.293,243.244,0.406,0.396,0.040
2023-04-07 07:59:00,5716.093,240.485,230.503,245.432,0.404,0.394,0.039
2023-04-07 08:10:00,5716.100,237.003,226.738,242.115,0.401,0.392,0.039
2023-04-07 08:20:00,5716.106,237.507,227.918,242.957,0.403,0.395,0.040
2023-04-07 08:30:00,5716.113,236.908,225.690,242.102,0.388,0.379,0.038
2023-04-07 08:40:00,5716.120,236.670,226.590,241.527,0.394,0.385,0.036
2023-04-07 08:50:00,5716.126,234.021,223.997,240.324,0.385,0.377,0.038
2023-04-07 09:00:00,5716.133,236.876,228.065,243.070,0.383,0.375,0.037
2023-04-07 09:09:00,5716.140,236.856,227.855,243.803,0.380,0.371,0.037
2023-04-07 09:19:00,5716.146,238.265,229.576,246.551,0.368,0.358,0.039
2023-04-07 09:30:00,5716.153,233.690,225.300,243.055,0.374,0.366,0.040
2023-04-07 09:40:00,5716.159,234.370,226.007,242.537,0.372,0.363,0.040
2023-04-07 09:50:00,5716.166,235.707,227.591,243.464,0.376,0.367,0.039
2023-04-07 10:00:00,5716.172,237.571,229.875,244.913,0.388,0.378,0.040
2023-04-07 10:09:00,5716.179,235.972,227.880,243.031,0.377,0.368,0.040
2023-04-07 10:19:00,5716.186,236.883,228.939,243.049,0.375,0.365,0.038
2023-04-07 10:30:00,5716.192,233.787,225.368,240.593,0.370,0.361,0.039
2023-04-07 10:40:00,5716.198,236.608,229.126,243.057,0.383,0.374,0.036
2023-04-07 10:50:00,5716.198,236.608,229.126,243.057,0.383,0.374,0.036
2023-04-07 11:00:00,5716.212,236.847,229.279,242.633,0.377,0.368,0.036
2023-04-07 11:10:00,5716.219,238.493,231.672,245.544,0.381,0.373,0.036
2023-04-07 11:19:00,5716.225,238.750,231.484,244.369,0.380,0.371,0.038
2023-04-07 11:30:00,5716.232,237.696,230.251,244.129,0.382,0.374,0.037
2023-04-07 11:40:00,5716.239,240.088,233.925,245.377,0.384,0.375,0.037
2023-04-07 11:50:00,5716.245,237.818,232.262,243.121,0.383,0.375,0.037
2023-04-07 12:00:00,5716.252,238.403,232.273,243.159,0.390,0.381,0.038
2023-04-07 12:09:00,5716.258,239.464,233.856,244.372,0.388,0.379,0.039
2023-04-07 12:20:00,5716.265,238.028,233.096,243.525,0.386,0.378,0.037
2023-04-07 12:30:00,5716.271,237.203,231.583,242.848,0.391,0.383,0.038
2023-04-07 12:40:00,5716.278,237.348,233.232,243.262,0.386,0.378,0.037
2023-04-07 12:50:00,5716.338,235.941,231.271,241.314,11.599,11.529,9.239
2023-04-07 13:00:00,5716.556,233.080,227.878,238.318,9.764,9.410,9.206
2023-04-07 13:09:00,5716.797,228.802,224.766,233.915,10.677,10.679,10.333
2023-04-07 13:20:00,5716.941,230.913,226.556,237.156,2.178,2.391,2.288
2023-04-07 13:30:00,5716.958,232.831,227.732,239.586,0.420,0.410,0.040
2023-04-07 13:40:00,5716.966,235.414,231.111,241.780,0.420,0.411,0.035
2023-04-07 13:50:00,5716.973,236.803,232.740,243.508,0.417,0.407,0.036
2023-04-07 14:00:00,5716.980,237.431,232.800,243.153,0.397,0.388,0.036
2023-04-07 14:09:00,5716.988,238.288,234.315,244.341,0.397,0.388,0.036
2023-04-07 14:19:00,5716.995,237.816,233.800,243.487,0.398,0.389,0.036
2023-04-07 14:30:00,5717.002,238.124,232.970,243.191,0.398,0.388,0.036
2023-04-07 14:40:00,5717.009,240.531,236.279,244.819,0.399,0.390,0.036
2023-04-07 14:50:00,5717.017,238.782,234.923,243.166,0.399,0.390,0.036
2023-04-07 15:00:00,5717.024,239.716,235.335,243.536,0.401,0.391,0.038
2023-04-07 15:09:00,5717.032,239.775,236.348,243.906,0.404,0.395,0.038
2023-04-07 15:19:00,5717.039,239.110,235.896,242.860,0.397,0.389,0.036
2023-04-07 15:30:00,5717.046,239.902,235.416,243.543,0.401,0.393,0.036
2023-04-07 15:40:00,5717.054,238.014,233.965,242.032,0.388,0.378,0.039
2023-04-07 15:50:00,5717.061,235.471,231.390,239.527,0.403,0.393,0.041
2023-04-07 16:00:00,5717.068,237.271,232.371,240.275,0.409,0.398,0.042
2023-04-07 16:10:00,5717.076,239.216,235.264,241.630,0.399,0.390,0.038
2023-04-07 16:20:00,5717.083,240.362,235.746,242.248,0.409,0.400,0.038
2023-04-07 16:30:00,5717.091,237.672,232.903,239.743,0.404,0.395,0.037
2023-04-07 16:40:00,5717.098,238.366,234.033,240.389,0.412,0.402,0.038
2023-04-07 16:50:00,5717.105,237.907,232.744,240.505,0.418,0.410,0.039
2023-04-07 17:00:00,5717.113,236.339,232.466,238.873,0.423,0.414,0.038
2023-04-07 17:09:00,5717.120,236.432,232.146,238.721,0.424,0.415,0.040
2023-04-07 17:19:00,5717.127,235.139,231.665,238.086,0.422,0.413,0.040
2023-04-07 17:30:00,5717.143,231.129,225.667,233.310,13.683,14.068,9.523
2023-04-07 17:40:00,5717.366,229.817,224.852,231.375,9.963,9.623,9.397
2023-04-07 17:50:00,5717.579,229.892,224.096,231.769,9.928,9.588,9.370
2023-04-07 18:00:00,5717.754,230.677,225.532,234.046,0.396,0.387,0.040
2023-04-07 18:10:00,5717.761,230.226,225.753,233.690,0.395,0.387,0.040
2023-04-07 18:20:00,5717.768,230.815,226.044,233.678,0.396,0.386,0.040
2023-04-07 18:30:00,5717.774,231.476,226.011,233.657,0.394,0.384,0.040
2023-04-07 18:40:00,5717.781,231.380,226.494,233.934,0.397,0.388,0.041
2023-04-07 18:50:00,5717.788,231.953,226.578,234.823,0.400,0.392,0.041
2023-04-07 19:00:00,5717.794,232.160,227.840,235.314,0.401,0.392,0.040
2023-04-07 19:09:00,5717.801,232.179,228.517,236.001,0.399,0.390,0.040
2023-04-07 19:19:00,5717.808,233.887,229.693,236.769,0.402,0.392,0.040
2023-04-07 19:29:00,5717.815,233.558,229.530,237.138,0.399,0.390,0.040
2023-04-07 19:40:00,5717.822,233.167,229.149,236.893,0.399,0.390,0.041
2023-04-07 19:49:00,5717.829,231.479,226.948,235.565,0.392,0.383,0.038
2023-04-07 19:59:00,5717.835,230.951,226.485,234.158,0.398,0.389,0.041
2023-04-07 20:10:00,5717.842,228.729,224.285,232.567,0.393,0.384,0.040
2023-04-07 20:20:00,5717.842,228.681,224.162,232.603,0.391,0.382,0.041
2023-04-07 20:30:00,5717.855,231.522,226.637,234.455,0.394,0.385,0.040
2023-04-07 20:40:00,5717.862,231.937,226.991,234.263,0.394,0.385,0.040
2023-04-07 20:50:00,5717.869,233.126,228.752,236.258,0.401,0.393,0.040
2023-04-07 21:00:00,5717.875,232.911,229.042,236.479,0.399,0.389,0.040
2023-04-07 21:09:00,5717.882,234.206,230.053,237.483,0.399,0.391,0.040
2023-04-07 21:19:00,5717.889,231.253,227.474,235.318,0.395,0.386,0.041
2023-04-07 21:29:00,5717.896,231.273,226.308,235.433,0.394,0.384,0.039
2023-04-07 21:40:00,5717.902,233.032,228.457,236.758,0.399,0.390,0.039
2023-04-07 21:49:00,5717.909,235.068,230.622,238.811,0.398,0.389,0.039
2023-04-07 21:59:00,5717.916,236.257,231.951,239.432,0.400,0.391,0.039
2023-04-07 22:09:00,5717.923,235.919,231.982,239.299,0.400,0.391,0.039
2023-04-07 22:20:00,5717.930,233.512,228.564,236.128,0.397,0.388,0.040
2023-04-07 22:30:00,5717.937,233.144,228.066,235.485,0.398,0.388,0.042
2023-04-07 22:40:00,5717.943,232.965,228.688,235.567,0.397,0.388,0.041
2023-04-07 22:50:00,5717.950,232.417,227.022,235.638,0.397,0.389,0.040
2023-04-07 23:00:00,5717.957,233.414,228.120,235.820,0.396,0.386,0.040
2023-04-07 23:09:00,5717.964,233.261,228.096,235.812,0.396,0.386,0.040
2023-04-07 23:19:00,5717.971,234.495,229.497,237.331,0.397,0.388,0.041
2023-04-07 23:29:00,5717.978,235.230,230.330,237.983,0.393,0.384,0.039
2023-04-07 23:39:00,5717.984,234.698,230.530,238.090,0.394,0.385,0.039
2023-04-07 23:50:00,5717.991,235.055,230.726,238.363,0.395,0.387,0.039
