dtime,total_e,v1,v2,v3,a1,a2,a3
2023-04-28 00:09:00,5891.821,235.706,227.384,239.436,0.399,0.389,0.038
2023-04-28 00:19:00,5891.829,234.597,226.621,238.505,0.395,0.384,0.039
2023-04-28 00:30:00,5891.835,235.533,227.005,239.371,0.398,0.388,0.038
2023-04-28 00:40:00,5891.842,235.246,226.836,239.080,0.396,0.385,0.040
2023-04-28 00:50:00,5891.849,235.758,226.630,239.111,0.397,0.386,0.039
2023-04-28 01:00:00,5891.856,236.462,227.661,240.103,0.401,0.390,0.041
2023-04-28 01:10:00,5891.863,235.895,226.952,239.476,0.400,0.389,0.039
2023-04-28 01:19:00,5891.870,236.330,226.886,239.204,0.401,0.390,0.040
2023-04-28 01:29:00,5891.877,236.279,227.633,240.135,0.396,0.386,0.038
2023-04-28 01:40:00,5891.884,234.923,225.997,238.858,0.400,0.389,0.037
2023-04-28 01:50:00,5891.891,235.671,226.602,239.639,0.398,0.388,0.037
2023-04-28 02:00:00,5891.897,233.021,224.207,237.006,0.395,0.384,0.038
2023-04-28 02:10:00,5891.905,235.450,226.661,238.943,0.399,0.389,0.040
2023-04-28 02:20:00,5891.912,234.642,225.870,238.681,0.400,0.389,0.036
2023-04-28 02:30:00,5891.918,234.617,225.434,237.893,0.399,0.387,0.038
2023-04-28 02:40:00,5891.925,234.858,225.978,238.524,0.402,0.391,0.037
2023-04-28 02:50:00,5891.932,235.554,226.331,239.033,0.402,0.392,0.038
2023-04-28 03:00:00,5891.939,235.518,226.746,239.633,0.399,0.389,0.038
2023-04-28 03:09:00,5891.946,233.840,224.680,237.959,0.400,0.390,0.038
2023-04-28 03:20:00,5891.953,233.662,224.727,237.999,0.400,0.389,0.039
2023-04-28 03:30:00,5891.959,233.961,225.179,238.323,0.396,0.386,0.040
2023-04-28 03:39:00,5891.966,235.683,226.412,239.215,0.398,0.387,0.039
2023-04-28 03:50:00,5891.973,235.086,226.450,239.204,0.399,0.388,0.038
2023-04-28 03:59:00,5891.980,235.436,226.220,239.606,0.396,0.386,0.038
2023-04-28 04:10:00,5891.987,235.392,226.822,239.536,0.398,0.388,0.038
2023-04-28 04:19:00,5891.994,235.209,225.940,239.084,0.395,0.385,0.037
2023-04-28 04:30:00,5892.001,234.401,225.486,238.701,0.397,0.386,0.040
2023-04-28 04:39:00,5892.008,235.293,226.794,239.175,0.400,0.389,0.039
2023-04-28 04:50:00,5892.015,233.753,224.174,237.933,0.396,0.385,0.039
2023-04-28 05:00:00,5892.021,233.999,225.040,238.558,0.400,0.390,0.040
2023-04-28 05:09:00,5892.028,236.580,226.853,240.167,0.400,0.389,0.040
2023-04-28 05:19:00,5892.035,237.262,227.997,241.272,0.402,0.391,0.041
2023-04-28 05:29:00,5892.042,236.856,227.838,241.211,0.402,0.392,0.039
2023-04-28 05:40:00,5892.175,237.442,227.413,239.948,7.502,5.717,2.664
2023-04-28 05:50:00,5892.373,237.690,227.912,238.667,14.924,9.432,13.990
2023-04-28 06:00:00,5892.598,241.300,231.287,240.484,9.644,9.290,9.055
2023-04-28 06:09:00,5892.813,241.415,232.252,241.239,9.604,9.248,9.013
